cat,date,year,season,sex,age,age.2,toxo titer,toxo320,toxo160,fiv,felv,type,colony,catsincolony,latitude,longitude
MO-072,5/2/06,2006,wet,f,> 12 months,adult,80,0,0,0,0,managed,50,3,36.61104722,-121.8329167
MO-078,5/9/06,2006,wet,m,> 12 months,adult,640,1,1,0,0,managed,50,3,36.61104722,-121.8329167
MO-089,5/15/06,2006,wet,m,> 12 months,adult,80,0,0,0,0,managed,51,4,36.88377778,-121.6980556
MO-186,8/13/06,2006,dry,f,6-12 months,juvenile,80,0,0,0,0,managed,51,4,36.88377778,-121.6980556
MO-263,3/5/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,51,4,36.88377778,-121.6980556
MO-264,3/5/07,2007,wet,m,> 12 months,adult,<40,0,0,0,0,managed,51,4,36.88377778,-121.6980556
MO-287,5/21/07,2007,dry,f,> 12 months,adult,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-288,5/21/07,2007,dry,f,6-12 months,juvenile,40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-353,10/23/07,2007,wet,f,> 12 months,adult,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-394,2/6/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-395,2/6/08,2008,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-396,2/10/08,2008,wet,m,6-12 months,juvenile,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-397,2/10/08,2008,wet,m,> 12 months,adult,40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-409,2/27/08,2008,wet,m,> 12 months,adult,40,0,0,1,0,managed,52,10,36.79258889,-121.6632528
MO-546,9/9/08,2008,dry,f,> 12 months,adult,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-548,9/10/08,2008,dry,m,> 12 months,adult,<40,0,0,0,0,managed,52,10,36.79258889,-121.6632528
MO-093,5/21/06,2006,wet,f,6-12 months,juvenile,<40,0,0,0,0,managed,53,1,36.54134722,-121.6549639
